year,table,institution,Russell group,region,entry tariff,student satisfaction,research quality,overall score,rank,graduate outcomes,graduate plans on track
2023,Marketing,City University,Non-member,London,186,3.8,3.51,97.2,2,,
2023,Accounting & finance,Derby,Non-member,Outside London,109,4.11,2.37,81.2,65,46,84
2023,Business & management,Derby,Non-member,Outside London,119,3.83,2.37,78.1,74,60,67
2023,Marketing,Derby,Non-member,Outside London,122,3.86,2.37,78,58,68,64
2023,Accounting & finance,Anglia Ruskin,Non-member,Outside London,95,4.15,3.15,79,82,36,68
2023,Business & management,Anglia Ruskin,Non-member,Outside London,96,4.05,3.15,78.4,71,50,68
2023,Marketing,Anglia Ruskin,Non-member,Outside London,105,4.06,3.15,81.2,34,66,86
2023,Business & management,Goldsmiths,Non-member,London,116,3.86,2.79,78.5,68,57,51
2023,Marketing,Goldsmiths,Non-member,London,117,3.57,,70.4,91,,
2023,Business & management,Norwich Arts,Non-member,Outside London,99,4.1,,71.8,120,,
2023,Marketing,Norwich Arts,Non-member,Outside London,130,4.1,,76,67,,
2023,Accounting & finance,Hertfordshire,Non-member,Outside London,103,3.94,2.79,80,78,46,78
2023,Accounting & finance,King's College,Member,London,164,3.88,3.46,97.7,7,,
2023,Business & management,King's College,Member,London,197,3.88,3.46,97.2,5,85,75
2023,Accounting & finance,Kingston,Non-member,London,108,3.88,2.6,82.2,59,48,88
2023,Business & management,Kingston,Non-member,London,117,3.78,2.6,77.7,77,57,58
2023,Marketing,Kingston,Non-member,London,101,3.99,2.6,73.2,80,50,54
2023,Business & management,Hertfordshire,Non-member,Outside London,106,3.78,2.79,75.6,99,50,59
2023,Marketing,Hertfordshire,Non-member,Outside London,106,3.86,2.79,78.4,54,68,76
2023,Accounting & finance,Bedfordshire,Non-member,Outside London,125,3.81,,75.9,93,,
2023,Business & management,Bedfordshire,Non-member,Outside London,96,3.84,2.64,77.6,80,64,73
2023,Marketing,Bedfordshire,Non-member,Outside London,,3.17,2.64,74.9,73,64,72
2023,Accounting & finance,East Anglia,Non-member,Outside London,125,3.98,3.39,88.9,35,70,64
2023,Business & management,East Anglia,Non-member,Outside London,132,3.97,3.39,88.5,18,73,77
2023,Marketing,East Anglia,Non-member,Outside London,139,3.92,3.39,87.7,13,72,76
2023,Accounting & finance,Essex,Non-member,Outside London,106,3.72,3.04,84.3,46,68,72
2023,Business & management,Essex,Non-member,Outside London,109,3.73,3.04,81.4,54,66,69
2023,Marketing,Essex,Non-member,Outside London,107,3.56,3.04,78.6,48,62,76
2023,Business & management,Suffolk,Non-member,Outside London,117,3.52,2.69,78.2,72,64,57
2023,Accounting & finance,London Met,Non-member,London,86,4.15,2.6,76,91,36,62
2023,Business & management,London Met,Non-member,London,90,4.22,2.6,75,105,37,62
2023,Marketing,London Met,Non-member,London,91,3.86,2.6,71.2,88,40,62
2023,Accounting & finance,LSE,Member,London,187,3.98,3.56,99.5,2,80,62
2023,Business & management,LSE,Member,London,194,3.96,3.56,99.7,2,93,
2023,Accounting & finance,South Bank,Non-member,London,101,3.75,2.6,76.3,90,34,74
2023,Business & management,South Bank,Non-member,London,92,3.66,2.6,72.6,112,50,58
2023,Marketing,South Bank,Non-member,London,103,3.73,2.8,72.3,85,36,60
2023,Accounting & finance,Northumbria,Non-member,Outside London,128,3.82,2.79,86.9,40,62,82
2023,Business & management,Northumbria,Non-member,Outside London,128,3.5,2.79,82,50,67,77
2023,Marketing,Northumbria,Non-member,Outside London,128,3.43,2.79,79.7,43,,
2023,Accounting & finance,Durham,Member,Outside London,157,4.1,3.32,98.9,3,84,90
2023,Business & management,Durham,Member,Outside London,167,3.89,3.32,92.3,13,74,81
